Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
425,Brendan Fraser,,Action,3,4,0
426,Jet Li,,Action,7,4,0
427,Maria Bello,,Action,9,4,0
462,Julie Benz,,Action,3,4,0
463,Matthew Marsden,,Action,3,4,0
464,Graham McTavish,,Action,3,4,0
468,Jason Statham,,Action,16,4,0
484,Sigourney Weaver,,Action,14,4,0
485,Michelle Rodriguez,,Action,12,4,0
507,Vin Diesel,,Action,14,4,0
508,Paul Walker,,Action,5,4,0
509,Jordana Brewster,,Action,4,4,0
664,Dolph Lundgren,,Action,3,4,0
691,Dwayne Johnson,,Action,26,4,0
732,Milla Jovovich,,Action,11,4,0
733,Ali Larter,,Action,5,4,0
734,Wentworth Miller,,Action,6,4,0
735,Kim Coates,,Action,3,4,0
831,Antonio Banderas,,Thriller,6,4,0
832,Elena Anaya,,Drama,3,4,0
833,Jan Cornet,,Drama,3,4,0
834,Marisa Paredes,,Drama,3,4,0
914,Sienna Guillory,,Action,6,4,0
915,Aryana Engineer,,Action,3,4,0
933,Randy Couture,,Action,3,4,0
934,Jean-Claude Van Damme,,Action,6,4,0
1013,Tony Shalhoub,,Crime,6,4,0
1016,Arnold Schwarzenegger,,Action,6,4,0
1017,50 Cent,,Action,3,4,0
1018,Vincent D'Onofrio,,Action,9,4,0
1079,Adrianne Palicki,,Action,3,4,0
1080,Byung-hun Lee,,Action,6,4,0
1292,Rose Leslie,,Action,6,4,0
1293,Olafur Darri Olafsson,,Action,3,4,0
1360,Nicholas Hope,,Drama,3,4,0
1361,Sam Neill,,Drama,6,4,0
1438,Auli'i Cravalho,,Animation,3,4,0
1439,Rachel House,,Adventure,6,4,0
1440,Temuera Morrison,,Animation,3,4,0
1465,Iain Glen,,Action,3,4,0
1466,Shawn Roberts,,Action,3,4,0
1605,Michael Yare,,Horror,3,4,0
1641,Gabriel Bateman,,Horror,3,4,0
1659,Yoo Gong,,Action,6,4,0
1660,Soo-an Kim,,Action,3,4,0
1661,Yu-mi Jung,,Action,3,4,0
1662,Dong-seok Ma,,Action,3,4,0
1736,Julian Dennison,,Adventure,3,4,0
1737,Rima Te Wiata,,Adventure,3,4,0
1791,Dave Bautista,,Action,6,4,0
1792,Alain Moussi,,Action,3,4,0
1793,Gina Carano,,Action,3,4,0
1832,Ji-min Han,,Action,3,4,0
1879,Anthony LaPaglia,,Action,3,4,0
1892,Ben Winchell,,Action,3,4,0
1893,Josh Brener,,Action,3,4,0
1894,Andy Garcia,,Action,3,4,0
1913,Mark Chao,,Action,3,4,0
1914,Ni Ni,,Action,3,4,0
178,Reiko Aylesworth,,Action,3,5,6
179,Steven Pasquale,,Action,3,5,6
180,Shareeka Epps,,Action,3,5,6
181,John Ortiz,,Action,3,5,6
216,Brenda Blethyn,,Drama,3,5,0
217,Saoirse Ronan,,Drama,15,5,0
479,Diane Kruger,,Drama,15,5,0
480,Eli Roth,,Adventure,3,5,0
481,Melanie Laurent,,Adventure,6,5,0
535,Jared Leto,,Drama,9,5,0
536,Sarah Polley,,Drama,3,5,0
537,Linh Dan Pham,,Drama,3,5,0
769,Elle Fanning,,Thriller,18,5,0
770,AJ Michalka,,Mystery,3,5,0
771,Kyle Chandler,,Drama,12,5,0
772,Joel Courtney,,Mystery,3,5,0
790,Ezra Miller,,Drama,9,5,0
791,Jasper Newell,,Drama,3,5,0
799,Jason Momoa,,Action,6,5,0
801,January Jones,,Action,3,5,0
802,Aidan Quinn,,Action,3,5,0
953,Max Irons,,Action,3,5,0
954,Jake Abel,,Action,3,5,0
987,Isabella Rossellini,,Mystery,3,5,0
997,Lorenza Izzo,,Horror,5,5,0
998,Ariel Levy,,Adventure,3,5,0
999,Aaron Burns,,Horror,5,5,0
